"id","index","measurement_time","measured_value"
21044,1,"2022-09-11 15:15:00+02",0
21045,1,"2022-09-11 15:30:00+02",0
21046,1,"2022-09-11 15:45:00+02",0
21047,1,"2022-09-11 16:00:00+02",0
21048,1,"2022-09-11 16:15:00+02",0
21049,1,"2022-09-11 16:30:00+02",0
21050,1,"2022-09-11 16:45:00+02",0
21051,1,"2022-09-11 17:00:00+02",0
21052,1,"2022-09-11 17:15:00+02",0
21053,1,"2022-09-11 17:30:00+02",0
21054,1,"2022-09-11 17:45:00+02",0
21055,1,"2022-09-11 18:00:00+02",0
21056,1,"2022-09-11 18:15:00+02",0
21057,1,"2022-09-11 18:30:00+02",0
21058,1,"2022-09-11 18:45:00+02",0
21059,1,"2022-09-11 19:00:00+02",0
21060,1,"2022-09-11 19:15:00+02",0
21061,1,"2022-09-11 19:30:00+02",0
21062,1,"2022-09-11 19:45:00+02",0
21063,1,"2022-09-11 20:00:00+02",0
21064,1,"2022-09-11 20:15:00+02",0
21065,1,"2022-09-11 20:30:00+02",0
21066,1,"2022-09-11 20:45:00+02",0
21067,1,"2022-09-11 21:00:00+02",0
21068,1,"2022-09-11 21:15:00+02",0
21069,1,"2022-09-11 21:30:00+02",0
21070,1,"2022-09-11 21:45:00+02",0
21071,1,"2022-09-11 22:00:00+02",0
21072,1,"2022-09-11 22:15:00+02",0
21073,1,"2022-09-11 22:30:00+02",0
21074,1,"2022-09-11 22:45:00+02",0
21075,1,"2022-09-11 23:00:00+02",0
21076,1,"2022-09-11 23:15:00+02",0
21077,1,"2022-09-11 23:30:00+02",0
21078,1,"2022-09-11 23:45:00+02",0
21079,0,"2022-09-11 11:00:00+02",0
21080,0,"2022-09-11 11:15:00+02",0
21081,0,"2022-09-11 11:30:00+02",0
21082,0,"2022-09-11 11:45:00+02",0
21083,0,"2022-09-11 12:00:00+02",0
21084,0,"2022-09-11 12:15:00+02",0
21085,0,"2022-09-11 12:30:00+02",0
21086,0,"2022-09-11 12:45:00+02",0
21087,0,"2022-09-11 13:00:00+02",0
21088,0,"2022-09-11 13:15:00+02",0
21089,0,"2022-09-11 13:30:00+02",0
21090,0,"2022-09-11 13:45:00+02",0
21091,0,"2022-09-11 14:00:00+02",0
21092,0,"2022-09-11 14:15:00+02",0
21093,0,"2022-09-11 14:30:00+02",0
21094,0,"2022-09-11 14:45:00+02",0
21095,0,"2022-09-11 15:00:00+02",0
21096,0,"2022-09-11 15:15:00+02",0
21097,0,"2022-09-11 15:30:00+02",0
21098,0,"2022-09-11 15:45:00+02",0
21099,0,"2022-09-11 16:00:00+02",0
21100,0,"2022-09-11 16:15:00+02",0
21101,0,"2022-09-11 16:30:00+02",0
43111,1,"2021-12-05 05:30:00+01",0
43112,1,"2021-12-05 05:45:00+01",0
43113,1,"2021-12-05 06:00:00+01",0
43114,1,"2021-12-05 06:15:00+01",0
43115,1,"2021-12-05 06:30:00+01",0
41528,11,"2021-12-01 00:00:00+01",28
41529,11,"2021-12-01 00:15:00+01",16
41530,11,"2021-12-01 00:30:00+01",15
41531,11,"2021-12-01 00:45:00+01",8
41624,21,"2021-12-01 00:00:00+01",1
41625,21,"2021-12-01 00:15:00+01",1
41626,21,"2021-12-01 00:30:00+01",3
41627,21,"2021-12-01 00:45:00+01",2
41720,1,"2021-12-01 00:00:00+01",0
41721,1,"2021-12-01 00:15:00+01",0
41722,1,"2021-12-01 00:30:00+01",0
41723,1,"2021-12-01 00:45:00+01",0
41725,11,"2021-12-01 01:00:00+01",9
41726,11,"2021-12-01 01:15:00+01",11
41727,11,"2021-12-01 01:30:00+01",10
41728,11,"2021-12-01 01:45:00+01",6
41729,11,"2021-12-01 02:00:00+01",6
41730,11,"2021-12-01 02:15:00+01",6
41731,11,"2021-12-01 02:30:00+01",4
41732,11,"2021-12-01 02:45:00+01",14
41733,11,"2021-12-01 03:00:00+01",7
41734,11,"2021-12-01 03:15:00+01",8
41735,11,"2021-12-01 03:30:00+01",6
41736,11,"2021-12-01 03:45:00+01",10
41737,11,"2021-12-01 04:00:00+01",14
41738,11,"2021-12-01 04:15:00+01",25
41739,11,"2021-12-01 04:30:00+01",18
41740,11,"2021-12-01 04:45:00+01",23
41741,11,"2021-12-01 05:00:00+01",27
41742,11,"2021-12-01 05:15:00+01",40
41743,11,"2021-12-01 05:30:00+01",66
41744,11,"2021-12-01 05:45:00+01",72
41745,11,"2021-12-01 06:00:00+01",106
41746,11,"2021-12-01 06:15:00+01",139
41747,11,"2021-12-01 06:30:00+01",154
41748,11,"2021-12-01 06:45:00+01",192
41749,11,"2021-12-01 07:00:00+01",210
41750,11,"2021-12-01 07:15:00+01",188
41751,11,"2021-12-01 07:30:00+01",199
41752,11,"2021-12-01 07:45:00+01",179
41753,11,"2021-12-01 08:00:00+01",159
41754,11,"2021-12-01 08:15:00+01",145
41755,11,"2021-12-01 08:30:00+01",145
41756,11,"2021-12-01 08:45:00+01",120
41757,11,"2021-12-01 09:00:00+01",151
41758,11,"2021-12-01 09:15:00+01",125
41759,11,"2021-12-01 09:30:00+01",145
41760,11,"2021-12-01 09:45:00+01",159
41761,11,"2021-12-01 10:00:00+01",127
41762,11,"2021-12-01 10:15:00+01",128
41763,11,"2021-12-01 10:30:00+01",142
41764,11,"2021-12-01 10:45:00+01",131
41765,11,"2021-12-01 11:00:00+01",175
41766,11,"2021-12-01 11:15:00+01",162
41767,11,"2021-12-01 11:30:00+01",157
41768,11,"2021-12-01 11:45:00+01",166
41769,11,"2021-12-01 12:00:00+01",181
41770,11,"2021-12-01 12:15:00+01",156
41771,11,"2021-12-01 12:30:00+01",175
41772,11,"2021-12-01 12:45:00+01",165
41773,11,"2021-12-01 13:00:00+01",185
41774,11,"2021-12-01 13:15:00+01",183
41775,11,"2021-12-01 13:30:00+01",181
41776,11,"2021-12-01 13:45:00+01",176
41777,11,"2021-12-01 14:00:00+01",158
41778,11,"2021-12-01 14:15:00+01",171
41779,11,"2021-12-01 14:30:00+01",168
41780,11,"2021-12-01 14:45:00+01",155
41781,11,"2021-12-01 15:00:00+01",176
41782,11,"2021-12-01 15:15:00+01",177
41783,11,"2021-12-01 15:30:00+01",163
